bidder_id,prediction
002d229ffb247009810828f648afc2ef593rb,0.04006269574165344
003180b29c6a5f8f1d84a6b7b6f7be57tjj1o,0.040357258170843124
00486a11dff552c4bd7696265724ff81yeo9v,0.041297003626823425
0051aef3fdeacdadba664b9b3b07e04e4coc6,0.0533108152449131
0053b78cde37c4384a20d2da9aa4272aym4pb,0.6719777584075928
0061edfc5b07ff3d70d693883a38d370oy4fs,0.6719961762428284
00862324eb508ca5202b6d4e5f1a80fc3t3lp,0.04048438370227814
009479273c288b1dd096dc3087653499lrx3c,0.04043710231781006
009cee781e8414f7fb55b2f92157e9dbu0y6o,0.04057717323303223
00a79ebd15f0b24a0a3b5794457cd8ed7dng1,0.671992838382721
00b519ec8ed5e370328451379bb708a306eoj,0.5621382594108582
00ceb1b66fc6c08f2e1b7937b5bc7f870qn5k,0.06600327789783478
00dd948c3a88f7b68f1952dbeeac68ffb6qoc,0.04041745886206627
00e0f614d9dd32dd27f6080f472d2934emlos,0.5627363920211792
010e5ed5eb439e0daf1870a0b426e32cztbdt,0.04373595863580704
0113d101ec6aabd354adac645a1ec3e82ln88,0.12302990257740021
0165dcd38f54e83aafb7bb3d95cd9369800km,0.04050330072641373
016e3c511caf01a845c9c976bbf355a6m1nns,0.040192123502492905
0176025cc599cb59f825d592b8ef3ee3p5aqv,0.040315866470336914
018c9ecc065880c95e21c0291a3b478dj1c0a,0.040358465164899826
0196137a75792cfa9e1ffae0c968f8e5h5eqq,0.057383887469768524
019cf2d366df756c092c91e26f406acdozha7,0.671974778175354
01a2f136b87e5c544e2f2c59295bea7ebwv8y,0.04142272099852562
01c729a32b5f51f088884b558cd2cfd1xz1qe,0.04159717634320259
01d5348d4d4472288c0c458d8630504165r4k,0.04033660516142845
01e4994f0a29fa76c7595fe3929bec777acv0,0.041080228984355927
01ecfeb5d9946423c7fb088a84fe77c3smw4c,0.04036480188369751
0204227c6c8042ec8d8cc1bacb0d44b1csycb,0.671980619430542
02127cccff7c56391882f1d58dd960fchwfua,0.04077892750501633
023d51d2bcf7d962c766ff570fa7a21ds3c96,0.04383202642202377
024b9e2d822424b09ddf86b2a9cf8614a0uwy,0.6719710826873779
024d6a4a489d4411f795d04b6617d1f47qvrs,0.6719760894775391
02518a364d87661eed1453e251933862yvmjj,0.6719762086868286
02615aa755c78f1812d7f772f4ed3d8anist8,0.04012775793671608
02857858772bd4320632bf6a51e02f6ejw6au,0.08873408287763596
0294102fd936228343828f48c7f2b270dklg3,0.04033362492918968
02a28b9de21bcb744bc2a7dedc008f91pbcpc,0.041966333985328674
02acbacd7a029481f44d5a2e2d3fb0b6xe0gx,0.04833633080124855
02caba35d87c40ffecdb1d998d909957dx7uo,0.0400046706199646
02db55f07b252ecff0aa4cba93880a44bv4eb,0.6719767451286316
02de68074ee2edccf6a00dfbd3213269w7k7i,0.040408551692962646
02fbc26f080655008337619a08cb7c04voa3c,0.5621610879898071
0306d10ab30a2f5cda41ae7ed77b8d31oehvv,0.6720429062843323
030fe7527c9394a74f25462cc2ed5af4myezo,0.6719775199890137
036abb8a6ba8171c3e41e16eec64e977ez1jd,0.0403020866215229
03757ddf8a00f5c600241f3ce956ad7bfv7tw,0.0420675203204155
